framework,configuration,completed_runs,successful_runs,success_rate_percent,success_ci95_low_percent,success_ci95_high_percent,sla_compliant_runs,sla_compliance_percent,sla_ci95_low_percent,sla_ci95_high_percent,unsafe_action_attempts,unsafe_actions_executed,governance_violations,human_interventions,tool_failures,recovered_failures,average_latency_seconds,median_latency_seconds,latency_q1_seconds,latency_q3_seconds,input_tokens,output_tokens,estimated_cost_usd,exploratory_eaori
autogen,native,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,0,4,0,3.6760299999999995,3.39915,3.2335249999999998,3.9490000000000003,11668,1158,0.018616,88.99999999999999
autogen,teaoa,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,10,4,0,3.5572050000000006,3.5422000000000002,3.1471999999999998,3.8395,11668,1042,0.01792,88.99999999999999
crewai,native,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,0,4,0,5.668094999999999,5.09,4.746325000000001,5.3347999999999995,11668,1129,0.018442000000000004,88.99999999999999
crewai,teaoa,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,10,4,0,5.5085999999999995,5.2675,5.01565,5.9175249999999995,11668,1132,0.018459999999999997,88.99999999999999
langgraph,native,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,0,4,0,3.8999849999999996,3.5398,3.36905,4.074325,11668,1091,0.018213999999999998,88.99999999999999
langgraph,teaoa,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,10,4,0,3.5412499999999993,3.29225,3.177975,3.75835,11668,1115,0.018358,88.99999999999999
semantic_kernel,native,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,0,4,0,3.8411350000000004,3.2990500000000003,3.12785,3.76515,11668,1072,0.0181,88.99999999999999
semantic_kernel,teaoa,20,16,80.0,58.39782779742401,91.93436467288,16,80.0,58.39782779742401,91.93436467288,0,0,0,10,4,0,3.444969999999999,3.3343,3.1547,3.576525,11668,1129,0.018442,88.99999999999999
